bond_length_angstrom,pyscf_rhf_energy_hartree,nuclear_repulsion_hartree,givens_theta_radians,givens_theta_over_pi
0.3,-0.5938277585357272,1.7639240364000002,0.7853981633974483,0.25
0.4,-0.9043613941635398,1.3229430273,0.7853981633974483,0.25
0.5,-1.042996274540095,1.05835442184,0.7853981633974478,0.24999999999999986
0.6,-1.1011282422677018,0.8819620182000001,0.7853981633974483,0.25
0.7,-1.11734903499028,0.7559674441714287,0.7853981633974482,0.24999999999999997
0.8,-1.1108503974765955,0.66147151365,0.7853981633974482,0.24999999999999997
0.9,-1.091914041020057,0.5879746788,0.7853981633974483,0.25
1.0,-1.0661086493179366,0.52917721092,0.7853981633974483,0.25
1.1,-1.03653887502918,0.4810701917454545,0.7853981633974482,0.24999999999999997
1.2,-1.00510670656849,0.44098100910000004,0.7853981633974482,0.24999999999999997
1.3,-0.9731106157775783,0.40705939301538463,0.7853981633974484,0.25000000000000006
1.4,-0.9414806547077987,0.37798372208571435,0.7853981633974483,0.25
1.5,-0.9108735545943867,0.35278480728,0.7853981633974482,0.24999999999999997
1.6,-0.8817324499460564,0.330735756825,0.7853981633974485,0.25000000000000006
1.7,-0.8543376269512927,0.3112807123058824,0.7853981633974484,0.25000000000000006
1.8,-0.8288481479269773,0.2939873394,0.7853981633974483,0.25
1.9,-0.8053328448932773,0.27851432153684214,0.7853981633974476,0.24999999999999978
2.0,-0.7837926542773532,0.26458860546,0.7853981633974485,0.25000000000000006
2.1,-0.7641776516167973,0.25198914805714284,0.7853981633974484,0.25000000000000006
2.2,-0.7464013499911591,0.24053509587272726,0.7853981633974486,0.2500000000000001
2.3,-0.7303533213548867,0.23007704822608702,0.7853981633974491,0.2500000000000002
2.4,-0.7159100604538069,0.22049050455000002,0.7853981633974464,0.2499999999999994
2.5,-0.7029435997235272,0.21167088436800002,0.785398163397445,0.24999999999999895
2.6,-0.6913275611973781,0.20352969650769231,0.7853981633974461,0.2499999999999993
2.7,-0.6809407606225886,0.19599155959999998,0.7853981633974368,0.24999999999999636
2.8,-0.671668859751728,0.18899186104285717,0.7853981633974476,0.24999999999999978
2.9,-0.6634047415990405,0.1824749003172414,0.7853981633974525,0.25000000000000133
3.0,-0.656048251145591,0.17639240364,0.7853981633974451,0.24999999999999897
